"time{s}","TurningAngularVel\system\BodyAngle\plot{rad}","TurningAngularVel\system\BodyAngularVel\plot{rad/s}","TurningAngularVel\system\MotorLAngle\plot","TurningAngularVel\system\BodyX\input","TurningAngularVel\system\BodyY\input","TurningAngularVel\system\TurningAngle\input","TurningAngularVel\system\BodyAngle\input{rad}","TurningAngularVel\system\BodyZ\input","TurningAngularVel\system\MotorRAngle\plot","TurningAngularVel\system\WheelMass\state","TurningAngularVel\system\WheelMass1\state"
1.276,-0.548642396364378,-5.60533423933145,1.99008514421736,-0.0544449794606587,0.119093264347334,-1.14054683069439e-17,-0.548642396364378,-5.221773754207e-19,-1.99008514421736,-0.114866431907687,-0.114866431907687
1.277,-0.554287209913924,-5.64481354954639,2.00482166216684,-0.0548252817042694,0.118818974583871,-1.13706789255627e-17,-0.554287209913924,-5.26502999135379e-19,-2.00482166216684,-0.115276810958515,-0.115276810958515
1.278,-0.559971545479756,-5.68433556583155,2.01959030749942,-0.0552069534773572,0.118540232479545,-1.10995071393231e-17,-0.559971545479756,-5.30739376593437e-19,-2.01959030749942,-0.115682059961408,-0.115682059961408
1.279,-0.56569544281825,-5.72389733849437,2.03439011160825,-0.0555900017603245,0.118256992279635,-1.06749476676771e-17,-0.56569544281825,-5.34828396970858e-19,-2.03439011160825,-0.116082055386074,-0.116082055386074
1.28,-0.571458938774428,-5.76349595617153,2.04922008693683,-0.0559744337054595,0.117969208404361,-1.04518806999246e-17,-0.571458938774428,-5.38885638653177e-19,-2.04922008693683,-0.116476673586479,-0.116476673586479
1.28,-0.571458938774428,-5.76349595617153,2.04922008693683,-0.0559744337054595,0.117969208404361,-1.04518806999246e-17,-0.571458938774428,-5.38885638653177e-19,-2.04922008693683,-0.116476673586479,-0.116476673586479
1.281,-0.577262067323396,-5.80312854896834,2.06407922692594,-0.0563602566371058,0.117676835464969,-9.79853487292701e-18,-0.577262067323396,-5.42667640026881e-19,-2.06407922692594,-0.116865790851331,-0.116865790851331
1.282,-0.583104859614977,-5.84279229158138,2.07896650596643,-0.0567474780517693,0.117379828279823,-8.67476295320802e-18,-0.583104859614977,-5.46068592309995e-19,-2.07896650596643,-0.117249283454219,-0.117249283454219
1.283,-0.588987344021376,-5.88248440639877,2.09388087935765,-0.0571361056181523,0.117078141890509,-7.19463901217465e-18,-0.588987344021376,-5.48866398505576e-19,-2.09388087935765,-0.117627027703326,-0.117627027703326
1.284,-0.594909546187951,-5.9222021665746,2.10882128327145,-0.0575261471771247,0.116771731577924,-6.16452494847561e-18,-0.594909546187951,-5.51223559611508e-19,-2.10882128327145,-0.117998899990623,-0.117998899990623
1.285,-0.600871489087023,-5.96194289907276,2.12378663472183,-0.0579176107416285,0.116460552878342,-5.25203119369196e-18,-0.600871489087023,-5.53324964241434e-19,-2.12378663472183,-0.118364776840462,-0.118364776840462
1.286,-0.606873193074699,-6.00170398767595,2.13877583153993,-0.0583105044965166,0.116144561599451,-4.32005511875929e-18,-0.606873193074699,-5.54973696199217e-19,-2.13877583153993,-0.118724534957474,-0.118724534957474
1.287,-0.612914675950655,-6.04148287595587,2.15378775235451,-0.0587048367983295,0.11582371383634,-3.23895730878073e-18,-0.612914675950655,-5.56200202172463e-19,-2.15378775235451,-0.1190780512737,-0.1190780512737
1.288,-0.618995953020856,-6.08127707020037,2.1688212565776,-0.059100616175008,0.115497965987428,-2.06037659063823e-18,-0.618995953020856,-5.5707092116261e-19,-2.1688212565776,-0.119425202994852,-0.119425202994852
1.289,-0.625117037163149,-6.12108414229381,2.18387518439529,-0.0594978513255451,0.115167274770318,-7.86706000759764e-19,-0.625117037163149,-5.57383414823082e-19,-2.18387518439529,-0.119765867645645,-0.119765867645645
1.29,-0.631277938895702,-6.16090173254674,2.19894835676355,-0.059896551119578,0.114831597237581,5.69707446735896e-19,-0.631277938895702,-5.57117890957229e-19,-2.19894835676355,-0.120099923114101,-0.120099923114101
1.29,-0.631277938895702,-6.16090173254674,2.19894835676355,-0.059896551119578,0.114831597237581,5.69707446735896e-19,-0.631277938895702,-5.57117890957229e-19,-2.19894835676355,-0.120099923114101,-0.120099923114101
1.291,-0.637478666448173,-6.20072755247114,2.21403957540888,-0.0602967245969198,0.114490890792435,2.11788488257915e-18,-0.637478666448173,-5.56328556142123e-19,-2.21403957540888,-0.120427247694757,-0.120427247694757
